,position,body_x,body_y,body_z,targetx,targety,thetax,thetay,velocity,acceleration,omega,alphas
0,"v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0,0.0,0.0,0.0,"v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
1,"v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0076583525815369586,0.0076583525815369586,0.0,0.0,"v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000"
2,"v = ( 0.0000, 0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.007523158032836903,0.007785989260843148,0.0076583525815369586,0.0076583525815369586,"v = ( 0.0000, -0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 0.0028, -0.0028, 0.0000 ) 	|v| = 0.0039","v = ( -0.0001, -0.0001, 0.0000 ) 	|v| = 0.0002","v = ( -0.0144, -0.0144, 0.0000 ) 	|v| = 0.0204"
3,"v = ( 0.0000, -0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.007380539035440315,0.007905942108762762,0.007523158032836903,0.007785989260843148,"v = ( 0.0001, -0.0001, 0.0000 ) 	|v| = 0.0002","v = ( 0.0092, -0.0089, 0.0000 ) 	|v| = 0.0128","v = ( -0.0006, -0.0006, 0.0000 ) 	|v| = 0.0009","v = ( -0.0464, -0.0481, 0.0000 ) 	|v| = 0.0668"
4,"v = ( 0.0000, -0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.007230636337079022,0.008018092746316985,0.007380539035440315,0.007905942108762762,"v = ( 0.0003, -0.0003, 0.0000 ) 	|v| = 0.0004","v = ( 0.0159, -0.0148, 0.0000 ) 	|v| = 0.0217","v = ( -0.0014, -0.0015, 0.0000 ) 	|v| = 0.0020","v = ( -0.0772, -0.0827, 0.0000 ) 	|v| = 0.1132"
5,"v = ( 0.0000, -0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.007073597873618338,0.008122330494366661,0.007230636337079022,0.008018092746316985,"v = ( 0.0005, -0.0005, 0.0000 ) 	|v| = 0.0007","v = ( 0.0227, -0.0205, 0.0000 ) 	|v| = 0.0306","v = ( -0.0024, -0.0026, 0.0000 ) 	|v| = 0.0036","v = ( -0.1067, -0.1184, 0.0000 ) 	|v| = 0.1594"
6,"v = ( 0.0000, -0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.0069095786230622125,0.008218552482839241,0.007073597873618338,0.008122330494366661,"v = ( 0.0008, -0.0007, 0.0000 ) 	|v| = 0.0011","v = ( 0.0297, -0.0258, 0.0000 ) 	|v| = 0.0394","v = ( -0.0038, -0.0042, -0.0000 ) 	|v| = 0.0057","v = ( -0.1349, -0.1549, -0.0000 ) 	|v| = 0.2054"
7,"v = ( 0.0000, -0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 1.0000, 0.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, 0.0000 ) 	|v| = 1.0000","v = ( 0.0000, 0.0000, 1.0000 ) 	|v| = 1.0000",0.006738740452608661,0.008306663752249128,0.0069095786230622125,0.008218552482839241,"v = ( 0.0012, -0.0010, 0.0000 ) 	|v| = 0.0016","v = ( 0.0368, -0.0309, 0.0000 ) 	|v| = 0.0481","v = ( -0.0054, -0.0061, 0.0000 ) 	|v| = 0.0082","v = ( -0.1615, -0.1921, 0.0000 ) 	|v| = 0.2510"
8,"v = ( 0.0000, -0.0000, 0.0000 ) 	|v| = 0.0000","v = ( 1.0000, 0.0000, 0.0001 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, -0.0001 ) 	|v| = 1.0000","v = ( -0.0001, 0.0001, 1.0000 ) 	|v| = 1.0000",0.006561251958906379,0.00838657734741121,0.006738740452608661,0.008306663752249128,"v = ( 0.0016, -0.0014, 0.0000 ) 	|v| = 0.0021","v = ( 0.0440, -0.0357, 0.0000 ) 	|v| = 0.0567","v = ( -0.0073, -0.0084, 0.0000 ) 	|v| = 0.0111","v = ( -0.1866, -0.2300, 0.0000 ) 	|v| = 0.2962"
9,"v = ( 0.0000, -0.0000, 0.0000 ) 	|v| = 0.0001","v = ( 1.0000, 0.0000, 0.0002 ) 	|v| = 1.0000","v = ( 0.0000, 1.0000, -0.0002 ) 	|v| = 1.0000","v = ( -0.0002, 0.0002, 1.0000 ) 	|v| = 1.0000",0.006377288301670206,0.008458214403255152,0.006561251958906379,0.00838657734741121,"v = ( 0.0021, -0.0018, -0.0367 ) 	|v| = 0.0368","v = ( 0.0509, -0.0398, -3.6727 ) 	|v| = 3.6732","v = ( -0.0094, -0.0111, 0.0000 ) 	|v| = 0.0145","v = ( -0.2100, -0.2685, 0.0000 ) 	|v| = 0.3409"
